Ref,Val,Package,PosX,PosY,Rot,Side
R1912,1k,R_0603,168.500000,-98.750000,180.000000,top
R1913,75R,R_0603,168.500000,-117.250000,180.000000,top
R1914,100k,R_0603,167.250000,-100.250000,180.000000,top
R1915,332R,R_0603,170.750000,-104.000000,90.000000,top
R1916,332R,R_0603,170.750000,-98.000000,90.000000,top
R1917,499R,R_0603,168.500000,-114.250000,180.000000,top
R1918,49R9,R_0603,173.750000,-107.000000,270.000000,top
R1919,332R,R_0603,170.750000,-118.000000,90.000000,top
R1920,215R,R_0603,171.500000,-101.750000,180.000000,top
R1923,75R,R_0603,168.500000,-97.250000,0.000000,top
R1927,499R,R_0603,168.500000,-94.250000,180.000000,top
R1928,10R,R_0603,173.500000,-87.250000,270.000000,top
R2001,1k,R_0603,164.500000,-176.750000,0.000000,top
R2002,0R,R_0603,164.750000,-163.999999,180.000000,top
R2003,DNP,R_0603,162.000000,-162.500000,180.000000,top
R2004,DNP,R_0603,162.000000,-164.000000,180.000000,top
R2101,100k,R_0603,153.250000,-165.250000,180.000000,top
R2102,23k,R_0603,150.500000,-163.750000,180.000000,top
R2103,23k,R_0603,150.500000,-165.250000,180.000000,top
R2201,1k,R_0603,180.300000,-229.950000,0.000000,top
R2202,10k,R_0603,180.300000,-227.250000,0.000000,top
R2203,49R9,R_0603,181.750000,-238.750000,180.000000,top
R2301,1k,R_0603,186.750000,-148.000000,0.000000,top
R2302,1k,R_0603,190.750000,-148.000000,180.000000,top
R2303,100k,R_0603,182.000000,-104.500000,270.000000,top
R2304,10R,R_0603,191.750000,-134.500000,90.000000,top
R2305,10k,R_0603,189.500000,-138.500000,180.000000,top
R2306,100k,R_0603,188.250000,-100.250000,180.000000,top
R2307,1k,R_0603,189.500000,-98.750000,180.000000,top
R2308,499R,R_0603,189.500000,-135.250000,180.000000,top
R2309,DNP,R_0603,194.750000,-87.250000,90.000000,top
R2310,49R9,R_0603,194.750000,-126.500000,90.000000,top
R2311,332R,R_0603,189.500000,-136.750000,180.000000,top
R2312,75R,R_0603,189.500000,-97.250000,0.000000,top
R2313,332R,R_0603,191.750000,-124.000000,90.000000,top
R2314,332R,R_0603,192.000000,-98.000000,90.000000,top
R2315,215R,R_0603,192.750000,-101.750000,180.000000,top
R2321,499R,R_0603,189.500000,-95.750000,180.000000,top
R2331,49R9,R_0603,191.750000,-84.250000,90.000000,top
R2401,1k,R_0603,205.000000,-144.500000,0.000000,top
R2402,1k,R_0603,205.000000,-142.000000,0.000000,top
R2403,10R,R_0603,214.000000,-134.500000,90.000000,top
R2404,10k,R_0603,211.500000,-139.750000,0.000000,top
R2405,69R8,R_0603,211.500000,-136.750000,0.000000,top
R2406,100k,R_0603,203.000000,-104.500000,270.000000,top
R2407,499R,R_0603,211.500000,-133.750000,180.000000,top
R2408,49R9,R_0603,216.750000,-126.500000,90.000000,top
R2409,49R9,R_0603,213.750000,-84.250000,90.000000,top
R2410,332R,R_0603,213.750000,-124.000000,90.000000,top
R2411,215R,R_0603,214.500000,-121.750000,180.000000,top
R2412,1k,R_0603,211.500000,-98.750000,180.000000,top
R2413,75R,R_0603,211.500000,-117.250000,180.000000,top
R2414,100k,R_0603,210.250000,-100.250000,180.000000,top
R2415,332R,R_0603,213.750000,-104.000000,90.000000,top
R2416,332R,R_0603,213.750000,-98.000000,90.000000,top
R2417,499R,R_0603,211.500000,-114.250000,180.000000,top
R2418,49R9,R_0603,216.750000,-107.000000,270.000000,top
R2419,332R,R_0603,213.750000,-118.000000,90.000000,top
R2420,215R,R_0603,214.500000,-101.750000,180.000000,top
R2423,75R,R_0603,211.500000,-97.250000,0.000000,top
R2427,499R,R_0603,211.500000,-94.250000,180.000000,top
R2428,10R,R_0603,216.500000,-87.250000,270.000000,top
R2501,0R,R_0603,207.750000,-164.000000,180.000000,top
R2502,DNP,R_0603,205.000000,-162.500000,180.000000,top
R2503,DNP,R_0603,205.000000,-164.000000,180.000000,top
R2601,100k,R_0603,196.250000,-165.250000,180.000000,top
R2602,23k,R_0603,193.500000,-163.750000,180.000000,top
R2603,23k,R_0603,193.500000,-165.250000,180.000000,top
R2701,1k,R_0603,184.500000,-229.950000,0.000000,top
R2702,10k,R_0603,184.700000,-227.200000,0.000000,top
R2703,49R9,R_0603,186.000000,-238.750000,180.000000,top
R2801,1k,R_0603,229.750000,-148.000000,0.000000,top
R2802,1k,R_0603,233.750000,-148.000000,180.000000,top
R2803,100k,R_0603,225.000000,-104.500000,270.000000,top
R2804,10R,R_0603,234.750000,-134.500000,90.000000,top
R2805,10k,R_0603,232.500000,-138.500000,180.000000,top
R2806,100k,R_0603,231.250000,-100.250000,180.000000,top
R2807,1k,R_0603,232.500000,-98.750000,180.000000,top
R2808,499R,R_0603,232.500000,-135.250000,180.000000,top
R2809,DNP,R_0603,237.750000,-87.250000,90.000000,top
R2810,49R9,R_0603,237.750000,-126.500000,90.000000,top
R2811,332R,R_0603,232.500000,-136.750000,180.000000,top
R2812,75R,R_0603,232.500000,-97.250000,0.000000,top
R2813,332R,R_0603,234.750000,-124.000000,90.000000,top
R2814,332R,R_0603,235.000000,-98.000000,90.000000,top
R2815,215R,R_0603,235.750000,-101.750000,180.000000,top
R2821,499R,R_0603,232.500000,-95.750000,180.000000,top
R2831,49R9,R_0603,234.750000,-84.250000,90.000000,top
R2901,1k,R_0603,248.000000,-144.500000,0.000000,top
R2902,1k,R_0603,248.000000,-142.000000,0.000000,top
R2903,10R,R_0603,257.000000,-134.500000,90.000000,top
R2904,10k,R_0603,254.500000,-139.750000,0.000000,top
R2905,69R8,R_0603,254.500000,-136.750000,0.000000,top
R2906,100k,R_0603,246.000000,-104.500000,270.000000,top
R2907,499R,R_0603,254.500000,-133.750000,180.000000,top
R2908,49R9,R_0603,259.750000,-126.500000,90.000000,top
R2909,49R9,R_0603,256.750000,-84.250000,90.000000,top
R2910,332R,R_0603,256.750000,-124.000000,90.000000,top
R2911,215R,R_0603,257.500000,-121.750000,180.000000,top
R2912,1k,R_0603,254.500000,-98.750000,180.000000,top
R2913,75R,R_0603,254.500000,-117.250000,180.000000,top
R2914,100k,R_0603,253.250000,-100.250000,180.000000,top
R2915,332R,R_0603,256.750000,-104.000000,90.000000,top
R2916,332R,R_0603,256.750000,-98.000000,90.000000,top
R2917,499R,R_0603,254.500000,-114.250000,180.000000,top
R2918,49R9,R_0603,259.750000,-107.000000,270.000000,top
R2919,332R,R_0603,256.750000,-118.000000,90.000000,top
R2920,215R,R_0603,257.500000,-101.750000,180.000000,top
R2923,75R,R_0603,254.500000,-97.250000,0.000000,top
R2927,499R,R_0603,254.500000,-94.250000,180.000000,top
R2928,10R,R_0603,259.500000,-87.250000,270.000000,top
R3001,1k,R_0603,250.500000,-174.750000,0.000000,top
R3002,0R,R_0603,250.750000,-163.999999,180.000000,top
R3003,DNP,R_0603,248.000000,-162.500000,180.000000,top
R3004,DNP,R_0603,248.000000,-164.000000,180.000000,top
R3101,100k,R_0603,239.250000,-165.250000,180.000000,top
R3102,23k,R_0603,236.500000,-163.750000,180.000000,top
